"RSWKTag","url","language","year","title","publisher_city","publisher","singularTag","subject","schoollevel","titleAlt","author","schooltype"
"Geografieunterricht,Berlin,Atlas,Schulbuch","http://gei-digital.gei.de/cms/ppnresolver/?PPN742707520","ger","1913","Atlas für Berliner Schulen","Braunschweig","Westermann",,"Geographieunterricht",,,,
"Geografieunterricht,Handelsschule,Kaufmännische Fortbildungsschule,Deutschland,Atlas,Schulbuch","http://gei-digital.gei.de/cms/ppnresolver/?PPN741297469","ger","1913","Neuer Atlas für Handels- und kaufmännische Fortbildungsschulen","Bielefeld","Leipzig",,"Geographieunterricht",,,,
"Geografieunterricht,Höhere Schule,Deutschland,Atlas,Schulbuch","http://gei-digital.gei.de/cms/ppnresolver/?PPN739954105","ger","1913","Diercke-Schulatlas für höhere Lehranstalten","Braunschweig [u.a.]","Westermann",,"Geographieunterricht",,,,
"Geografieunterricht,Höhere Schule,Deutschland,Atlas,Schulbuch","http://gei-digital.gei.de/cms/ppnresolver/?PPN738367281","ger","1913","Schul-Atlas für höhere Lehranstalten","München","Piloty & Loehle",,"Geographieunterricht",,,,
"Geografieunterricht,Deutschland,Lehrmittel","http://gei-digital.gei.de/cms/ppnresolver/?PPN73781683X","ger","1913","Beobachtung und Versuch im erdkundlichen und wetterkundlichen Unterricht","Leipzig","Wunderlich",,"Geographieunterricht","Lehrmittel",,,
"Geografieunterricht,Deutschland,Lehrmittel","http://gei-digital.gei.de/cms/ppnresolver/?PPN736590854","ger","1913","Kleine Heimatkunde der Provinz Westfalen","Minden i.W.","Hufeland","[]","Geographieunterricht","Lehrmittel",,,
"Geografieunterricht,Deutschland,Lehrmittel","http://gei-digital.gei.de/cms/ppnresolver/?PPN736285342","ger","1913","Europa","Leipzig [u.a.]","Klinkhardt",,"Geographieunterricht","Lehrmittel","Präparationen für den geographischen Unterricht",,
"Hessen-Darmstadt,Heimatkundeunterricht,Geografieunterricht,Grundschule,Deutschland,Schulbuch,Elektronische Publikation,Online Publikation","http://gei-digital.gei.de/cms/ppnresolver/?PPN735268312","ger","1913","Kreis Groß-Gerau","Gießen","Roth","[]","Geographieunterricht","Grundschule",,,
"Geografieunterricht,Deutschland,Lehrmittel","http://gei-digital.gei.de/cms/ppnresolver/?PPN735186421","ger","1913","Erdkundliches Lesebuch für höhere Schulen","Berlin [u.a.]","Oldenbourg","[]","Geographieunterricht","Lehrmittel",,,
"Geografieunterricht,Deutschland,Lehrmittel","http://gei-digital.gei.de/cms/ppnresolver/?PPN735185212","ger","1913","Deutschland","Leipzig [u.a.]","Bibliogr. Inst.",,"Geographieunterricht","Lehrmittel","Geographischer Bilderatlas aller Länder der Erde",,
"Hessen-Darmstadt,Heimatkundeunterricht,Geografieunterricht,Grundschule,Deutschland,Schulbuch,Elektronische Publikation,Online Publikation","http://gei-digital.gei.de/cms/ppnresolver/?PPN73345559X","ger","1913","Kreis Darmstadt","Gießen","Roth","[]","Geographieunterricht","Grundschule",,,
"Geografieunterricht,Sekundarstufe 1,Deutschland,Schulbuch","http://gei-digital.gei.de/cms/ppnresolver/?PPN733267742","ger","1913",,"Leipzig","Wachsmuth","[]","Geographieunterricht","Sekundarstufe 1","Menschenrassen und Völkertypen",,
"Geografieunterricht,Berufsbildende Schule,Deutschland,Lehrmittel","http://gei-digital.gei.de/cms/ppnresolver/?PPN733249809","ger","1913","Kleine Wirtschaftsgeographie für kaufmännische Fortbildungsschulen","Langensalza","Beyer","[]","Geographieunterricht","Berufliche Bildungsgänge",,,
"Geografieunterricht,Berufsbildende Schule,Deutschland,Lehrmittel","http://gei-digital.gei.de/cms/ppnresolver/?PPN733246699","ger","1913","Abriß der Weltwirtschaftskunde","Bielefeld [u.a.]","Velhagen & Klasing","[]","Geographieunterricht","Berufliche Bildungsgänge",,,
"Geografieunterricht,Grundschule,Deutschland,Schulbuch","http://gei-digital.gei.de/cms/ppnresolver/?PPN732586631","ger","1913","40 ausgeführte Lektionen nebst Zeichnungen","Weinheim [u.a.]","Ackermann",,"Geographieunterricht","Grundschule","Moderne Heimatkunde",,
"Geografieunterricht,Grundschule,Deutschland,Schulbuch","http://gei-digital.gei.de/cms/ppnresolver/?PPN732585872","ger","1913","40 ausgeführte Lektionen nebst Zeichnungen","Weinheim [u.a.]","Ackermann",,"Geographieunterricht","Grundschule","Moderne Heimatkunde",,
"Geografieunterricht,Grundschule,Deutschland,Schulbuch","http://gei-digital.gei.de/cms/ppnresolver/?PPN731846486","ger","1913",,"Hannover-List [u.a.]","Carl Meyer (Gustav Prior)","[]","Geographieunterricht","Grundschule","Heimatkunde von Bielefeld",,
"Geografieunterricht,Sekundarstufe 1,Deutschland,Schulbuch","http://gei-digital.gei.de/cms/ppnresolver/?PPN731514653","ger","1913","Heimatkunde der Provinz Westpreußen","Breslau","Hirt","[]","Geographieunterricht","Sekundarstufe 1","Deutsche Heimatkunden",,
"Geografieunterricht,Sekundarstufe 1,Deutschland,Schulbuch","http://gei-digital.gei.de/cms/ppnresolver/?PPN731434129","ger","1913","Heimatkunde vom preußischen Regierungsbezirk Wiesbaden (Nassau)","Leipzig","Kesselring","[]","Geographieunterricht","Sekundarstufe 1",,,
"Geografieunterricht,Hauptschule,Sekundarstufe 1,Deutschland,Schulbuch","http://gei-digital.gei.de/cms/ppnresolver/?PPN729436675","ger","1913","Fragenheft zur Erdkunde","Bielefeld [u.a.]","Velhagen & Klasing",,"Geographieunterricht","Sekundarstufe 1",,,"Hauptschule"
"Geografieunterricht,Sekundarstufe 1,Deutschland,Schulbuch","http://gei-digital.gei.de/cms/ppnresolver/?PPN729428532","ger","1913","Bodenständiger Unterricht","Leipzig","Dürr","[]","Geographieunterricht","Sekundarstufe 1",,,
"Geografieunterricht,Sekundarstufe 1,Deutschland,Schulbuch","http://gei-digital.gei.de/cms/ppnresolver/?PPN728468700","ger","1913",,"Hannover-List [u.a.]","Carl Meyer (Gustav Prior)","[]","Geographieunterricht","Sekundarstufe 1","Heimatkunde von Bielefeld",,
"Geografieunterricht,Realschule,Sekundarstufe 1,Deutschland,Schulbuch","http://gei-digital.gei.de/cms/ppnresolver/?PPN727390449","ger","1913","Aus der allgemeinen Erdkunde, Länderkunde von Mitteleuropa","Berlin [u.a.]","Oldenbourg","[]","Geographieunterricht","Sekundarstufe 1","Erdkunde für Mittelschulen",,"Realschule"
"Geografieunterricht,Gymnasium,Sekundarstufe 1,Deutschland,Schulbuch","http://gei-digital.gei.de/cms/ppnresolver/?PPN727127950","ger","1913","Heimatkunde (geographische Grundanschauungen), Das Königreich Sachsen","München [u.a.]","Oldenbourg","[]","Geographieunterricht","Sekundarstufe 1","Erdkunde für die höheren Mädchenschulen in Sachsen",,"Gymnasium"
"Geografieunterricht,Höhere Schule,Sekundarstufe 1,Bayern,Deutschland,Schulbuch","http://gei-digital.gei.de/cms/ppnresolver/?PPN727124013","ger","1913","Mitteleuropa","Nürnberg","Koch",,"Geographieunterricht","Sekundarstufe 1","Erdkunde für höhere Lehranstalten",,"Gymnasium"
"Geografieunterricht,Höhere Schule,Sekundarstufe 1,Bayern,Deutschland,Schulbuch","http://gei-digital.gei.de/cms/ppnresolver/?PPN727122819","ger","1913","Allgemeine Einführung in die Heimatkunde und Grundbegriffe, Landeskunde von Bayern, Überblick über die Erdoberfläche","Nürnberg","Koch",,"Geographieunterricht","Sekundarstufe 1","Erdkunde für höhere Lehranstalten",,"Gymnasium"
"Geografieunterricht,Gymnasium,Sekundarstufe 1,Deutschland,Schulbuch","http://gei-digital.gei.de/cms/ppnresolver/?PPN726657166","ger","1913","Deutschland mit besonderer Berücksichtigung Württembergs, Erweiterung der Kartenlehre","München [u.a.]","Oldenbourg","[]","Geographieunterricht","Sekundarstufe 1","Erdkunde für die höheren Schulen in Württemberg",,"Gymnasium"
"Geografieunterricht,Lehrerbildungsanstalt,Deutschland,Schulbuch","http://gei-digital.gei.de/cms/ppnresolver/?PPN726549118","ger","1913","Deutschland, Wirtschafts- und Handelsgeographie, Kartographie und Mathematische Erdkunde","Leipzig","List & von Bressensdorf","[]","Geographieunterricht","Lehrerbildung","Erdkundliche Hilfsbücher für Lehrerbildungsanstalten",,
"Geografieunterricht,Lehrerbildungsanstalt,Deutschland,Schulbuch","http://gei-digital.gei.de/cms/ppnresolver/?PPN726547697","ger","1913","Allgemeine Erdkunde, Die außereuropäischen Erdteile, Europa (ohne Deutschland)","Leipzig","List & von Bressensdorf","[]","Geographieunterricht","Lehrerbildung","Erdkundliche Hilfsbücher für Lehrerbildungsanstalten",,
"Online-Publikation,Geografieunterricht,Deutschland,Schulbuch","Digitalisierung","ger","1794","Handbuch der alten Erdbeschreibung nach ihren vorzüglichsten Theilen","Bremen","Wilmans",,"Geographieunterricht",,,"Hermann Schlichthorst",
"Online-Publikation,Geschichtsunterricht,Deutschland,Schulbuch","Digitalisierung","ger","1794","Vorstellung der Schauplätze berühmter Begebenheiten aus der Geschichte der vornehmsten Völker des Alterthums","Leipzig","Böttger",,"Geschichtsunterricht",,,"Georg August von",
"Geografieunterricht,Gymnasium,Sekundarstufe 2,Deutschland,Lehrmittel","http://gei-digital.gei.de/cms/ppnresolver/?PPN678802890","ger","1794","Ausführliche mathematische Geographie","Göttingen","Dieterich",,"Geographieunterricht","Sekundarstufe 2",,"Albrecht Georg Walch","Gymnasium"
"Geografieunterricht,Deutschland,Schulbuch,Online-Publikation","http://gei-digital.gei.de/cms/ppnresolver/?PPN676499678","ger","1794","Kurzgefaßtes Lehrbuch einer historisch-statistischen Geographie von Schlesien","Halle","Hendel",,"Geographieunterricht",,,"Karl Gottfried Nitsche",
"Geschichtsunterricht,Sekundarstufe,Deutschland,Schulbuch,Online-Publikation","http://gei-digital.gei.de/cms/ppnresolver/?PPN653952309","ger","1794","Kurzer Auszug aus der Geschichte von Sachsen, Thüringen und Meissen","Dresden",,,"Geschichtsunterricht","Sekundarstufe 1",,,
"Realien,Sekundarstufe 1,Deutschland,Schulbuch","http://gei-digital.gei.de/cms/ppnresolver/?PPN747227578","ger","1793",,"Hannover","Helwing","[]","Realien","Sekundarstufe 1","Die @Bürgerschule","Johann Christoph Fröbing",
"Geografieunterricht,Deutschland,Schulbuch","Digitalisierung","ger","1793","Kleine Geographie von Wirtemberg","Stuttgart","Erhard",,"Geographieunterricht",,,"Friedrich Christian Franz",
"Geschichtsunterricht,Grundschule,Deutschland,Lehrbuch","Digitalisierung","ger","1793","Lehrbuch für den ersten Schulunterricht in der Geschichtkunde","Gotha","Ettinger",,"Geschichtsunterricht","Grundschule",,"Johann Georg August Galletti","Grundschule"
"Deutschunterricht,Grundschule,Deutschland,Lesebuch","http://gei-digital.gei.de/cms/ppnresolver/?PPN719580064","ger","1793","Lesebuch für Kinder, die gern verständiger und besser werden wollen","Frankfurt am Mayn","Brönner",,"Muttersprachlicher  Unterricht","Grundschule",,"Johann Friedrich Wilberg","Grundschule"
"Realien,Sekundarstufe,Deutschland,Schulbuch","http://gei-digital.gei.de/cms/ppnresolver/?PPN788765280","ger","1792","Geographie und besondere Geschichte","Leipzig","Göschen","[]","Realien","Sekundarstufe 2","Johann Gotthilf Lorentz Predigers und Rektors in Köpenick Lesebuch für die Jugend der Bürger und für Bürgerschulen",,
"Realien,Sekundarstufe,Deutschland,Schulbuch","http://gei-digital.gei.de/cms/ppnresolver/?PPN788763784","ger","1792","Geographie und besondere Geschichte","Leipzig","Göschen","[]","Realien","Sekundarstufe 2","Johann Gotthilf Lorentz Predigers und Rektors in Köpenick Lesebuch für die Jugend der Bürger und für Bürgerschulen",,
"Erstleseunterricht,Grundschule,Deutschland,Schulbuch,Religionsunterricht,Grundschule,Deutschland,Schulbuch","http://gei-digital.gei.de/cms/ppnresolver/?PPN788280309","ger","1792","Buchstabir- und Lese-Büchlein, nach welchem das Lesen, der zarten Jugend, leicht und gründlich beygebracht werden kan","Görlitz","Waysenhaus",,"Religionsunterricht","Grundschule",,,
"Geografieunterricht,Sekundarstufe 2,Deutschland,Schulbuch","http://gei-digital.gei.de/cms/ppnresolver/?PPN746443978","ger","1792","Kurzer Entwurf der alten Geographie","Leipzig","Heinsius",,"Geographieunterricht","Sekundarstufe 2",,,
"Religionsunterricht,Deutschland,Lehrmittel","http://gei-digital.gei.de/cms/ppnresolver/?PPN724869107","ger","1792","Lese- Gebeth- und Erbauungsbüchlein für die Kinder der Stadt und des Landes","Augsburg","Rieger","[]","Religionsunterricht",,,"Joseph Willibald Straßer",
"Geografieunterricht,Deutschland,Schulbuch","http://resolver.sub.uni-goettingen.de/purl?PPN662301560","ger","1792","@Skizze von Wirtemberg vorzüglich zum Unterricht der Jugend bestimmt","Stuttgart","Erhard und Löflund",,"Geographieunterricht",,,"Immanuel Pfleiderer",
"Geografieunterricht,Deutschland,Schulbuch","http://gei-digital.gei.de/cms/ppnresolver/?PPN654813590","ger","1792",,"Göttingen","Dieterich",,"Geographieunterricht",,"M. Georg Christian Raff's Geographie für Kinder zum Gebrauch auf Schulen","Georg Christian Raff",
"Erstleseunterricht,Grundschule,USA,Schulbuch","http://gei-digital.gei.de/cms/ppnresolver/?PPN240619234","ger","1792","Ein @wohl eingerichtetes deutsches ABC- Buchstabir- und Lesebuch zum Gebrauch deutscher Schulen","Germantaun","Billmeyer",,"Erstleseunterricht","Grundschule",,,"Grundschule"
"Erstleseunterricht,Grundschule,USA,Schulbuch","http://gei-digital.gei.de/cms/ppnresolver/?PPN240408470","ger","1792","@Hoch-Deutsches Reformirtes ABC- und Namen-Büchlein","Philadelphia","Cist",,"Erstleseunterricht","Grundschule",,,"Grundschule"
"Geografieunterricht,Deutschland,Lehrmittel","http://gei-digital.gei.de/cms/ppnresolver/?PPN746447248","ger","1791","Neues Handbuch der Geographie","Leipzig","Schneider",,"Geographieunterricht","Lehrmittel",,,
"Geschichtsunterricht,Deutschland,Schulbuch","http://gei-digital.gei.de/cms/ppnresolver/?PPN654502862","ger","1791","Lehrbuch der Geschichte für Junge von Adel welche zu Staats- und Kriegsgeschäften erzogen seyn wollen","Berlin","Matzdorff",,"Geschichtsunterricht",,,"Theodor Jacob Ditmar",
"Geschichtsunterricht,Sekundarstufe 1,Deutschland","Resolving-System","ger","1790","Lehrbuch der allgemeinen Weltgeschichte zum Gebrauch der studierenden Jugend eingerichtet","Bamberg und Würzburg","Goebhardt",,"Geschichtsunterricht","Sekundarstufe 1",,"Johann K. Müller",
"Geografieunterricht,Sekundarstufe 1,Deutschland,Schulbuch","http://gei-digital.gei.de/cms/ppnresolver/?PPN746698410","ger","1790","M. J. E. Fabri's, Professors der Philosophie in Jena, Elementargeographie, Dritter Band","Halle","Gebauer","[]","Geographieunterricht","Sekundarstufe 1","Geographisches Lehrbuch für den zweyten Cursus","Johann Ernst Fabri",
"Religionsunterricht,Grundschule,Deutschland,Schulbuch","http://gei-digital.gei.de/cms/ppnresolver/?PPN725764171","ger","1790","Für die III. Klasse der Kinder","[S.l.]",,"[]","Religionsunterricht","Grundschule","Les- und Lehrbüchlein für die Landschulen des Hochwürdig-gnädigen, Fürstlich-insulierten Hohen Domkapitels in Augsburg",,"Grundschule"
"Realien,Deutschland,Schulbuch","http://gei-digital.gei.de/cms/ppnresolver/?PPN679727469","ger","1790","Neu-eingerichtetes Lesebuch für Deutsche Schulen","Mülheim am Rheine","Hutmacher",,"Realien",,,,
"Geografieunterricht,Deutschland,Schulbuch","http://resolver.sub.uni-goettingen.de/purl?PPN654813574","ger","1790",,"Göttingen","Dieterich",,"Geographieunterricht",,"M. Georg Christian Raff's, ordentlichen Lehrers der Geschichte und Erdbeschreibung auf dem Lyceum zu Göttingen, Geographie für Kinder zum Gebrauch auf Schulen","Georg Christian Raff",
"Schulbuch,Deutschunterricht,Bürgerschule,Deutschland,Lesebuch","http://gei-digital.gei.de/cms/ppnresolver/?PPN653968310","ger","1790","Der @Bürgerfreund","Berlin","Spener",,"Muttersprachlicher  Unterricht",,,"Samuel Ludewig",
"Geografieunterricht,Deutschland,Schulbuch","http://gei-digital.gei.de/cms/ppnresolver/?PPN636181588","ger","1790","Geographisch-Statistische Beyträge zur Kenntnis der auswärtigen Europäischen Besitzungen in Asia, Afrika und Amerika","Duisburg","Helwing",,"Geographieunterricht",,,,
"Geografie,Realien,Sekundarstufe 1,Deutschland,Schulbuch","http://gei-digital.gei.de/cms/ppnresolver/?PPN747226016","ger","1789","Mit zwey illuminirten Charten","Hannover","Pockwitz","[]","Realien","Sekundarstufe 1","Die @Bürgerschule","Johann Christoph Fröbing",
"Geschichtsunterricht,Deutschland,Lehrmittel","http://gei-digital.gei.de/cms/ppnresolver/?PPN746270348","ger","1789","Fortsetzung der neuern Geschichte","Leipzig","Weidmann",,"Geschichtsunterricht","Lehrmittel","Allgemeine Weltgeschichte für Kinder","Johann Matthias Schröckh",
"Geschichtsunterricht,Deutschland,Tabelle,Lehrmittel,Online-Publikation","http://gei-digital.gei.de/cms/ppnresolver/?PPN72224598X","ger","1789","Synchronistische Tabellen für den historischen Unterricht auf Schulen","Halle","Trampe",,"Geschichtsunterricht","Sekundarstufe 2",,"Benjamin Friedrich Schmieder",
"Geografieunterricht,Deutschland,Lehrmittel","http://gei-digital.gei.de/cms/ppnresolver/?PPN746648790","ger","1788","Süd-Amerika","Leipzig","Weidmann",,"Geographieunterricht","Lehrmittel","Amerika",,
"Geografieunterricht,Deutschland,Lehrmittel","http://gei-digital.gei.de/cms/ppnresolver/?PPN746636741","ger","1788","Nord-Amerika","Leipzig","Weidmann",,"Geographieunterricht","Lehrmittel","Amerika",,
"Kirchengeschichte,Geschichte Anfänge-1785,Sachsen,Böhmen,Schlesien,Polen,Lausitz,Geschichtsunterricht,Deutschland,Lehrbuch","Digitalisierung","ger","1788","Lehrbuch der deutschen Reichsgeschichte","Leipzig","Schwickert",,"Geschichtsunterricht",,,"Ernst Carl Wieland",
"Geschichtsunterricht,Deutschland,Schulbuch,Online-Publikation","http://gei-digital.gei.de/cms/ppnresolver/?PPN","ger","1788","Lehrbuch der alten Staatengeschichte","Gotha","Ettinger",,"Geschichtsunterricht",,,"Johann Georg August Galletti",
"Geografieunterricht,Deutschland,Lehrmittel","http://gei-digital.gei.de/cms/ppnresolver/?PPN746634293","ger","1787","Afrika","Leipzig","Weidmann und Reich",,"Geographieunterricht","Lehrmittel","Europa",,
"Online-Publikation,Geschichtsunterricht,Sekundarstufe,Tertiärbereich,Deutschland,Lehrbuch","Digitalisierung","ger","1787","Lehrbuch der Römischen Alterthümer","Rinteln","Müller",,"Geschichtsunterricht","Tertiärbereich",,"Georg Wilhelm Rullmann",
"Online-Publikation,Geschichtsunterricht,Deutschland,Schulbuch,Online-Publikation","Digitalisierung","ger","1787","Lehrbuch der deutschen Staatengeschichte","Gotha","Ettinger",,"Geschichtsunterricht",,,"Johann Georg August Galletti",
"Geografieunterricht,Deutschland,Schulbuch,Online-Publikation","http://gei-digital.gei.de/cms/ppnresolver/?PPN636175367","ger","1787","Kleine Geographie von Chursachsen und den darzu gehörigen Ländern","Dresden","Hilscher",,"Geographieunterricht",,,"Friedrich Wilhelm Köhler",
"Realien,Sekundarstufe 1,Deutschland,Schulbuch","http://gei-digital.gei.de/cms/ppnresolver/?PPN788657534","ger","1786","Kurzer Inbegriff aller Wissenschaften zum Gebrauch der Kinder von sechs bis zwölf Jahren","Potsdam","Horvath","[]","Realien","Sekundarstufe 1",,,
"Deutschunterricht,Sekundarstufe 1,Deutschland,Lesebuch","http://gei-digital.gei.de/cms/ppnresolver/?PPN786528931","ger","1786",,"Leipzig","Göschen","[]","Muttersprachlicher  Unterricht","Sekundarstufe 1","Johann Gotthilf Lorentz Predigers und Rektors in Köpenick Lesebuch für die Jugend der Bürger und Handwerker",,
"Geografieunterricht,Deutschland,Lehrmittel","http://gei-digital.gei.de/cms/ppnresolver/?PPN746591594","ger","1786","Asia","Leipzig","Weidmann und Reich",,"Geographieunterricht","Lehrmittel","Europa",,
"Geschichtsunterricht,Deutschland,Lehrmittel","http://gei-digital.gei.de/cms/ppnresolver/?PPN746186096","ger","1786",,"Dresden","Leipzig","[]","Geschichtsunterricht","Lehrmittel","Sächsische Geschichte für Kinder",,
"Geschichtsunterricht,Sekundarstufe,Deutschland,Schulbuch","http://gei-digital.gei.de/cms/ppnresolver/?PPN627752454","ger","1786","Lehrbuch der Europäischen Staatengeschichte für höhere Schulen","Gotha","Ettinger",,"Geschichtsunterricht","Sekundarstufe 2",,"Johann Georg August Galletti",
"Erstleseunterricht,Grundschule,Deutschland,Lehrmittel","http://gei-digital.gei.de/cms/ppnresolver/?PPN789768372","ger","1785","Unerwartlich grosse Verbesserung der Kunst Lesen zu lehren","Hamburg","Crusius und Bohn",,"Erstleseunterricht","Grundschule",,,
"Realien,Deutschland,Lehrmittel","http://gei-digital.gei.de/cms/ppnresolver/?PPN78884752X","ger","1785",,"Leipzig","Crusius",,"Realien",,"Das @Basedowische Elementarwerk",,
"Realien,Deutschland,Lehrmittel","http://gei-digital.gei.de/cms/ppnresolver/?PPN788834533","ger","1785",,"Leipzig","Crusius",,"Realien",,"Das @Basedowische Elementarwerk",,
"Realien,Hauptschule,Sekundarstufe 1,Deutschland,Schulbuch","http://gei-digital.gei.de/cms/ppnresolver/?PPN788771035","ger","1785","Das @kleine Schulbuch zur Erlernung einer nützlichen Kenntniß der Welt","Erfurt","Keyser","[]","Realien","Sekundarstufe 1",,,"Hauptschule"
"Realien,Deutschland,Schulbuch","http://gei-digital.gei.de/cms/ppnresolver/?PPN78807119X","ger","1785","Schulbuch zum Gebrauche der Landschulen","Berlin [u.a.]","Nicolai","[]","Religionsunterricht","Grundschule",,,
"Erstleseunterricht,Grundschule,Deutschland,Schulbuch","http://gei-digital.gei.de/cms/ppnresolver/?PPN788032798","ger","1785","Fibel, oder Erste Leseübungen","Leipzig","Crusius",,"Erstleseunterricht","Grundschule",,,
"Realien,Deutschland,Lehrmittel","http://gei-digital.gei.de/cms/ppnresolver/?PPN748736484","ger","1785",,"Leipzig","Crusius",,"Realien","Lehrmittel","Das @Basedowische Elementarwerk",,
"Realien,Sekundarstufe 1,Deutschland,Schulbuch","http://gei-digital.gei.de/cms/ppnresolver/?PPN747214794","ger","1785",,"Leipzig","Göschen","[]","Realien","Sekundarstufe 1","Lesebuch für die Jugend der Bürger und Handwerker",,
"Geografieunterricht,Deutschland,Lehrmittel","http://gei-digital.gei.de/cms/ppnresolver/?PPN746590059","ger","1785",,"Leipzig","Weidmann und Reich",,"Geographieunterricht","Lehrmittel","Nord- und Ost-Europa",,
"Geografieunterricht,Deutschland,Lehrmittel","http://gei-digital.gei.de/cms/ppnresolver/?PPN746588054","ger","1785",,"Leipzig","Weidmann und Reich",,"Geographieunterricht","Lehrmittel","Nord- und Ost-Europa",,
"Online-Publikation,Erstleseunterricht,Grundschule,Deutschland,Schulbuch","Digitalisierung","ger","1785","Buchstabir- und Lese-Büchlein, nach welchem das Lesen, der zarten Jugend, leicht und gründlich beygebracht werden kan","Görlitz","Fickelscherer",,"Erstleseunterricht","Grundschule",,"Georg Friedrich Seiler",
"Online-Publikation,Realien,Deutschland,Schulbuch","Digitalisierung","ger","1785","Unterweisung in den vornehmsten Künsten und Wissenschaften zum Nutzen der Schulen","Leipzig","Hertel",,"Realien",,,"Johann Christoph Adelung",
"Geschichtsunterricht,Deutschland,Schulbuch","http://gei-digital.gei.de/cms/ppnresolver/?PPN646251392","ger","1785","@Kurze Römische Geschichte, vornehmlich für die Jugend","Koburg","Ahl",,"Geschichtsunterricht",,,"Johann Heinrich Martin Ernesti",
"Erstleseunterricht,Grundschule,Deutschland,Schulbuch","http://gei-digital.gei.de/cms/ppnresolver/?PPN788068741","ger","1784","Neues ABC Buch nach Milow","Hamburg","[s.n.]",,"Erstleseunterricht","Grundschule",,,
"Geografieunterricht,Deutschland,Lehrmittel","http://gei-digital.gei.de/cms/ppnresolver/?PPN746586302","ger","1784","West- und Süd-Europa","Leipzig","Weidmann und Reich",,"Geographieunterricht","Lehrmittel","Europa",,
"Geschichtsunterricht,Grundschule,Deutschland,Lehrbuch","http://gei-digital.gei.de/cms/ppnresolver/?PPN656947748","ger","1784","Hilmar Curas weil. Collegen des Joachimsthalischen Gymnasium zu Berlin Einleitung zur Universalhistorie","Berlin","Stettin",,"Geschichtsunterricht","Grundschule",,"Hilmar Curas","Grundschule"
"Geografieunterricht,Deutschland,Schulbuch","http://resolver.sub.uni-goettingen.de/purl?PPN644377224","ger","1784","M. Georg Christian Raff's, ordentlichen Lehrers der Geschichte und Geographie auf dem Lyceum zu Göttingen, Geographie für Kinder","Göttingen","Dieterich",,"Geographieunterricht",,,"Georg Christian Raff",
"Geografieunterricht,Deutschland,Schulbuch","http://gei-digital.gei.de/cms/ppnresolver/?PPN789088703","fre","1783","Abrégé de géographie pour les enfans","Berlin","Jasperd",,"Geographieunterricht",,,,
"Erstleseunterricht,Grundschule,Deutschland,Schulbuch","http://gei-digital.gei.de/cms/ppnresolver/?PPN719061644","ger","1783","@Neue Fiebel oder Lese- Schreib- und Rechenbuch zum ersten Unterricht der Kinder","Nürnberg","Raspe",,"Erstleseunterricht","Grundschule",,,"Grundschule"
"Geografieunterricht,Gymnasium,Sekundarstufe 1,Deutschland,Schulbuch","http://gei-digital.gei.de/cms/ppnresolver/?PPN747232148","ger","1782","Ausser den noch übrigen Theilen von Europa, ganz Asien, Afrika, Amerika und Südindien","Halle","Gebauer","[]","Geographieunterricht","Sekundarstufe 1","Geographisches Lehrbuch für den zweyten Cursus",,"Gymnasium"
"Geschichtsunterricht,Sekundarstufe 1,Deutschland,Schulbuch","http://gei-digital.gei.de/cms/ppnresolver/?PPN718686853","ger","1782","Grundriß der Europäischen Staatengeschichte, in Verbindung der Erdbeschreibung und Staatskunde","Berlin","Hesse",,"Geschichtsunterricht","Sekundarstufe 1",,"Johann Friedrich Poppe","Gymnasium"
"Online-Publikation,Geschichtsunterricht,Sekundarstufe,Tertiärbereich,Deutschland,Lehrbuch","Digitalisierung","ger","1782","Versuch eines Lehrbuchs der Römischen Alterthümer","Rinteln","Müller",,"Geschichtsunterricht","Tertiärbereich",,"Georg Wilhelm Rullmann",
"Geografieunterricht,Sekundarstufe,Deutschland,Schulbuch","http://resolver.sub.uni-goettingen.de/purl?PPN657424951","ger","1782","Geschichte der Preußisch-Brandenburgischen Staaten","Schwerin","Wismar",,"Geographieunterricht","Sekundarstufe 2",,,
"Geografieunterricht,Deutschland,Schulbuch","http://resolver.sub.uni-goettingen.de/purl?PPN644051760","ger","1782","M. Georg Christian Raff, ordentlichen Lehrers der Geschichte und Geographie auf dem Lyceum zu Göttingen Geographie für Kinder","Göttingen","Dieterich",,"Geographieunterricht",,,"Georg Christian Raff",
"Erstleseunterricht,Grundschule,Deutschland,Schulbuch","http://gei-digital.gei.de/cms/ppnresolver/?PPN643815198","ger","1782","Neue Fibel","Göttingen","Dieterich",,"Erstleseunterricht","Grundschule",,,"Grundschule"
"Deutschunterricht,Gymnasium,Sekundarstufe 1,Deutschland,Lesebuch","http://gei-digital.gei.de/cms/ppnresolver/?PPN788365037","ger","1781","Deutsches Lesebuch für den zweiten Cursus, nebst der Fortsetzung der deutschen Sprachlehre und Kinderlogik","Halle","Gebauer",,"Muttersprachlicher  Unterricht","Sekundarstufe 1","Neues Elementarwerk für die niedern Klassen lateinischer Schulen und Gymnasien",,"Gymnasium"
"Realien,Grundschule,Deutschland,Schulbuch","http://gei-digital.gei.de/cms/ppnresolver/?PPN747210837","ger","1781","Erster Unterricht vom Menschen und den vornehmsten auf ihn sich beziehenden Dingen","Gotha","Reyher","[]","Realien","Grundschule",,,
