"RSWKTag","url","language","year","title","publisher_city","publisher","singularTag","subject","schoollevel","titleAlt","author","schooltype"
"Deutschunterricht,Realschule,Grundschule,Deutschland,Lesebuch,Online-Publikation","http://gei-digital.gei.de/cms/ppnresolver/?PPN820298042","ger","1889",,"Bielefeld [u.a.]","Velhagen & Klasing","[]","Muttersprachlicher  Unterricht","Grundschule","Deutsches Lesebuch mit Bildern für gehobene Schulen",,"Realschule"
"Deutschunterricht,Realschule,Grundschule,Deutschland,Lesebuch,Online-Publikation","http://gei-digital.gei.de/cms/ppnresolver/?PPN82028033X","ger","1889",,"Bielefeld [u.a.]","Velhagen & Klasing","[]","Muttersprachlicher  Unterricht","Grundschule","Deutsches Lesebuch mit Bildern für gehobene Schulen",,"Realschule"
"Deutschunterricht,Realschule,Grundschule,Deutschland,Lesebuch,Online-Publikation","http://gei-digital.gei.de/cms/ppnresolver/?PPN820008524","ger","1889",,"Bielefeld [u.a.]","Velhagen & Klasing","[]","Muttersprachlicher  Unterricht","Grundschule","Deutsches Lesebuch mit Bildern für gehobene Schulen",,"Realschule"
"Deutschunterricht,Sekundarstufe 2,Deutschland,Lesebuch,Online-Publikation","http://gei-digital.gei.de/cms/ppnresolver/?PPN817737871","ger","1889","Beschreibende und lehrende Prosa","Freiburg im Breisgau","Herder","[]","Muttersprachlicher  Unterricht","Sekundarstufe 2","Deutsches Lesebuch für die oberen Klassen höherer Lehranstalten",,
"Deutschunterricht,Sekundarstufe 2,Deutschland,Lesebuch,Online-Publikation","http://gei-digital.gei.de/cms/ppnresolver/?PPN817037845","ger","1889","Altdeutsches Lesebuch in neudeutschen Übersetzungen","Leipzig","Bädeker","[]","Muttersprachlicher  Unterricht","Sekundarstufe 2",,,
"Geografieunterricht,Sekundarstufe 1,Deutschland,Schulbuch,Online-Publikation","http://gei-digital.gei.de/cms/ppnresolver/?PPN79879495X","ger","1889","Landeskunde der Provinz Posen","Breslau","Hirt","[]","Geographieunterricht","Sekundarstufe 1",,,
"Geografieunterricht,Deutschland,Schulbuch","http://gei-digital.gei.de/cms/ppnresolver/?PPN796637229","ger","1889","Palästina","Halle a. S.","Heynemann",,"Geographieunterricht",,,,
"Realien,Hauptschule,Sekundarstufe 1,Deutschland,Schulbuch","http://gei-digital.gei.de/cms/ppnresolver/?PPN792097602","ger","1889","Brandenburg","Leipzig","Ed. Peters Verl.","[]","Realien","Sekundarstufe 1","Realienbuch",,"Hauptschule"
"Realien,Sekundarstufe 1,Deutschland,Schulbuch","http://gei-digital.gei.de/cms/ppnresolver/?PPN791298884","ger","1889","Anschaulich-ausführliches Realienbuch","Braunschweig [u.a.]","Wollermann",,"Realien","Sekundarstufe 1",,,
"Geografieunterricht,Deutschland,Lehrmittel","http://gei-digital.gei.de/cms/ppnresolver/?PPN741210800","ger","1889","Deutschlands Kolonieen","Gotha","Behrend",,"Geographieunterricht","Lehrmittel",,,
"Geografieunterricht,Deutschland,Lehrmittel","http://gei-digital.gei.de/cms/ppnresolver/?PPN736273697","ger","1889",,"Langensalza","Greßler",,"Geographieunterricht","Lehrmittel","Geographische Bilder",,
"Geografieunterricht,Grundschule,Deutschland,Schulbuch","http://gei-digital.gei.de/cms/ppnresolver/?PPN734089740","ger","1889","Heimatkunde des Herzogtums Coburg und seiner Umgebung","Gotha","Stollberg","[]","Geographieunterricht","Grundschule",,,
"Geografieunterricht,Hauptschule,Sekundarstufe 1,Deutschland,Schulbuch","http://gei-digital.gei.de/cms/ppnresolver/?PPN731322339","ger","1889","Deutschland","Neustadt-Leipzig","Henze","[]","Geographieunterricht","Sekundarstufe 1","Lehrbuch der Geographie für die Volksschule",,"Hauptschule"
"Geografieunterricht,Realschule,Sekundarstufe 1,Deutschland,Schulbuch","http://gei-digital.gei.de/cms/ppnresolver/?PPN726663301","ger","1889","Die @außereuropäischen Erdteile","München","Oldenbourg","[]","Geographieunterricht","Sekundarstufe 1","Leitfaden der Geographie für Mittelschulen",,"Realschule"
"Geografieunterricht,Gymnasium,Sekundarstufe 1,Deutschland,Schulbuch","http://gei-digital.gei.de/cms/ppnresolver/?PPN722158807","ger","1889","Landeskunde der Freien Hansestadt Bremen und ihres Gebietes","Breslau","Hirt","[]","Geographieunterricht","Sekundarstufe 1","Heimatkunden",,"Gymnasium"
"Geschichtsunterricht,Deutschland,Lehrmittel","http://gei-digital.gei.de/cms/ppnresolver/?PPN688730396","ger","1889","Das @alte Athen und seine bedeutendsten Denkmäler","Breslau","Wohlfarth","[]","Geschichtsunterricht","Lehrmittel","Wanderungen auf klassischem Boden",,
"Geschichtsunterricht,Deutschland,Lehrmittel","http://gei-digital.gei.de/cms/ppnresolver/?PPN672443171","ger","1889","Kommentar zu Serie II der Kulturgeschichtlichen Bilder","Leipzig","Leipziger Schulbilderverl. Wachsmuth",,"Geschichtsunterricht","Lehrmittel","Aus vergangenen Tagen",,
"Geschichtsunterricht,Deutschland,Lehrmittel","http://gei-digital.gei.de/cms/ppnresolver/?PPN672442256","ger","1889","Kommentar zu Serie I der Kulturgeschichtlichen Bilder","Leipzig","Leipziger Schulbilderverl. Wachsmuth",,"Geschichtsunterricht","Lehrmittel","Aus vergangenen Tagen",,
"Geschichtsunterricht,Deutschland,Lehrmittel","http://gei-digital.gei.de/cms/ppnresolver/?PPN669695742","ger","1889","Der @Erbe von Stübeckshorn","Braunschweig","Bruhn (Appelhans & Pfenningstorff)",,"Geschichtsunterricht","Lehrmittel","Aus dem alten Sachsenlande",,
"Geschichtsunterricht,Gymnasium,Sekundarstufe 2,Deutschland,Schulbuch","http://gei-digital.gei.de/cms/ppnresolver/?PPN665757182","ger","1889","Römische Geschichte","Heidelberg","Winter","[]","Geschichtsunterricht","Sekundarstufe 2","Hilfsbücher für den geschichtlichen Unterricht in höheren Lehranstalten",,"Gymnasium"
"Geschichtsunterricht,Gymnasium,Sekundarstufe 1,Deutschland,Schulbuch","http://gei-digital.gei.de/cms/ppnresolver/?PPN665756429","ger","1889","Griechische Geschichte","Heidelberg","Winter","[]","Geschichtsunterricht","Sekundarstufe 1","Hilfsbücher für den geschichtlichen Unterricht in höheren Lehranstalten",,"Gymnasium"
"Geschichtsunterricht,Gymnasium,Sekundarstufe 1,Deutschland,Schulbuch","http://gei-digital.gei.de/cms/ppnresolver/?PPN66425778X","ger","1889","Sagen und Geschichten","Breslau","Hirt","[]","Geschichtsunterricht","Sekundarstufe 1",,,"Gymnasium"
"Geschichtsunterricht,Deutschland,Quelle,Schulbuch","http://gei-digital.gei.de/cms/ppnresolver/?PPN663640067","ger","1889","Quellenbuch zur brandenburgisch-preussischen Geschichte","Berlin","Nicolai",,"Geschichtsunterricht","Lehrmittel",,,
"Geschichtsunterricht,Realschule,Sekundarstufe 1,Deutschland,Schulbuch","http://gei-digital.gei.de/cms/ppnresolver/?PPN663466458","ger","1889","Zeit der alten Deutschen bis zur Reformationszeit","Dresden","Bleyl & Kaemmerer","[]","Geschichtsunterricht","Sekundarstufe 1","Präparationen für den deutschen Geschichtsunterricht an Volks- und Mittelschulen",,"Realschule"
"Geschichtsunterricht,Hauptschule,Sekundarstufe 1,Deutschland,Schulbuch","http://gei-digital.gei.de/cms/ppnresolver/?PPN663089077","ger","1889","Hilfsbuch für den ersten Unterricht in der vaterländischen Geschichte","Breslau","Goerlich",,"Geschichtsunterricht","Sekundarstufe 1",,,"Gymnasium"
"Geschichtsunterricht,Deutschland,Lehrmittel","http://gei-digital.gei.de/cms/ppnresolver/?PPN661909603","ger","1889","Tabellen der Geschichte sämtlicher Kulturvölker","Leipzig","Fues",,"Geschichtsunterricht","Lehrmittel",,,
"Geschichtsunterricht,Deutschland,Lehrmittel","http://gei-digital.gei.de/cms/ppnresolver/?PPN657392111","ger","1889","Bilder aus der sächsischen Geschichte","Leipzig","Veit","[]","Geschichtsunterricht","Lehrmittel",,,
"Geschichtsunterricht,Gymnasium,Sekundarstufe 1,Deutschland,Schulbuch","http://gei-digital.gei.de/cms/ppnresolver/?PPN65647484X","ger","1889","Pensum der Sexta","Leipzig","Teubner",,"Geschichtsunterricht","Sekundarstufe 1","Leitfaden für den biographischen Geschichtsunterricht an höheren Lehranstalten Preußens",,"Gymnasium"
"Geschichtsunterricht,Gymnasium,Sekundarstufe 1,Deutschland,Schulbuch","http://gei-digital.gei.de/cms/ppnresolver/?PPN653924127","ger","1889","Königreich Sachsen","Dresden","Huhle",,"Geschichtsunterricht","Sekundarstufe 1",,,"Gymnasium"
