place,toPlace,lat,lng,oldPlace,num
Helmstedt,Helmstedt,52.228966,11.009544,,0
Herborn,Herborn,50.6784088,8.2997096,,0
Hirschberg,Hirschberg an der Bergstraße,49.508533,8.6557901,,0
Hof,Hof,50.311232,11.8191993,,0
Holzminden,Holzminden,51.8238111,9.4558926,,0
Ienae,Jena,50.927054,11.5892372,Ienae,0
Ilmenau,Ilmenau,50.6843502,10.9254728,,0
Innsbruck,Innsbruck,47.2692124,11.4041024,,0
Karlsruhe [u.a.],Karlsruhe,49.0068901,8.4036527,,0
Kattowitz,Katowice,50.2648919,19.0237815,Kattowitz,0
Koburg,Coburg,50.2612094,10.962695,Koburg,0
Köln am Rhein,Köln,50.937531,6.9602786,,0
Kopenhagen,Kopenhagen,55.6760968,12.5683371,,0
Krefeld,Krefeld,51.3387609,6.5853417,,0
Kreuznach [u.a.],Bad Kreuznach,49.8440162,7.8731346,,0
Leipsic,Leipzig,51.3396955,12.3730747,Leipsic,0
Leipzig [u. a.],Leipzig,51.3396955,12.3730747,,0
Leipzig und Frankfurt,Leipzig,51.3396955,12.3730747,,0
Lemgo,Lemgo,52.0266732,8.9018625,,0
Leutkirch,Leutkirch im Allgäu,47.826741,10.0213851,,0
Lübeck,Lübeck,53.8654673,10.6865593,,0
Ludwigsburg,Ludwigsburg,48.8940624,9.195464,,0
Ludwigshafen a. Rh.,Ludwigshafen am Rhein,49.47741,8.44518,,0
Mannheim,Mannheim,49.4874592,8.4660395,,0
Meurs,Moers,51.4516041,6.6408148,Meurs,0
Minden,Minden,38.9540739,-119.7657332,,0
Minden i. W.,Minden,38.9540739,-119.7657332,,0
Moers,Moers,51.4516041,6.6408148,,0
Mößkirch,Meßkirch,47.9944211,9.1156399,Mößkirch,0
Mühlhausen,Mühlhausen/Thüringen,51.2098649,10.4571001,,0
Mülheim am Rhein,Mülheim an der Ruhr,51.4185682,6.8845226,Mülheim am Rhein,0
Mülheim am Rheine,Mülheim an der Ruhr,51.4185682,6.8845226,Mülheim am Rheine,0
Münster in Westfalen,Münster,51.9606649,7.6261347,,0
Neu-Ruppin,Neuruppin,52.9154545,12.7990783,,0
"Neumark, Westpr.",Neumark,50.6603972,12.355937,,0
Neustadt a.d.O.,Neustadt,49.3501864,8.1486886,,0
Neustadt an d. Orla,Neustadt,49.3501864,8.1486886,,0
Neustadt-Leipzig,"Neustadt, Leipzig",51.3467535,12.4030344,,0
Neuwied [u.a.],Neuwied,50.4361866,7.4664546,,0
Nordhausen,Nordhausen,51.4990791,10.791581,,0
Noribergæ,Nürnberg,49.4254092,11.0796553,Noribergæ,0
Nürnberg [u.a.],Nürnberg,49.4254092,11.0796553,,0
Oberhausen [u.a.],Oberhausen,51.4963341,6.8637765,,0
Oldenburg/Holstein,Oldenburg,53.1434501,8.2145521,,0
Osterburg,Oldenburg,53.1434501,8.2145521,,0
Paßau,Passau,48.5667364,13.4319466,Paßau,0
Pesth,Budapest,47.497912,19.040235,Pesth,0
