RSWKTag,year,subject,publisher_city,publisher,schoollevel,id,title,language,schooltype,author
"Geografieunterricht,Gymnasium,Sekundarstufe 1,Deutschland,Schulbuch",1892,Geographieunterricht,Breslau,Hirt,Sekundarstufe 1,GEIsb2250001x0108921,Grundzüge der Geographie,ger,Gymnasium,
"Geschichtsunterricht,Gymnasium,Sekundarstufe 1,Deutschland,Schulbuch",1892,Geschichtsunterricht,Münster,Coppenrath,Sekundarstufe 1,GEIsb2490031x02892,Geschichte des Mittelalters,ger,Gymnasium,
"Deutschunterricht,Hauptschule,Sekundarstufe 1,Deutschland,Lesebuch",1892,Muttersprachlicher  Unterricht,Braunschweig,Appelhans & Pfenningstorff,Sekundarstufe 1,GEIsb2060028x01892,Für Mittelklassen,ger,Hauptschule,
"Geschichtsunterricht,Gymnasium,Sekundarstufe 1,Deutschland,Schulbuch",1892,Geschichtsunterricht,Leipzig,Freytag,Sekundarstufe 1,GEIsb2490036x02892,Deutsche Sagen und Geschichtsbilder aus dem Mittelalter,,Gymnasium,
"Deutschunterricht,Gymnasium,Sekundarstufe 1,Deutschland,Lesebuch",1892,Muttersprachlicher  Unterricht,Stuttgart,Rupfer,Sekundarstufe 1,GEIsb2050047x010892,,ger,Gymnasium,
"Geschichtsunterricht,Deutschland,Lehrmittel",1892,Geschichtsunterricht,Langensalza,Greßler,k07,GEIsb000010248,Charakterzüge aus dem Leben des deutschen Kaisers und Königs von Preußen Friedrich,ger,,
"Deutschunterricht,Deutschland,Lesebuch",1892,Muttersprachlicher  Unterricht,Bielefeld,Helmich,k07,GEIsb000007609,Dichter im deutschen Schulhause,ger,,
"Erstleseunterricht,Grundschule,Deutschland,Schulbuch",1892,Erstleseunterricht,Lübeck,Schmidt,Grundschule,GEIsb000007829,Lübeckische Fibel,,,
"Erstleseunterricht,Grundschule,Deutschland,Schulbuch",1892,Erstleseunterricht,Gotha,Thienemann,Grundschule,GEIsb000012582,Fibel,,,
"Erstleseunterricht,Grundschule,Deutschland,Schulbuch",1892,Erstleseunterricht,Hamburg,Meißner,Grundschule,GEIsb000009005,Deutsche Schreib-Lese-Fibel,,,
"Deutschunterricht,Lehrerbildungsanstalt,Deutschland,Lesebuch",1892,Muttersprachlicher  Unterricht,Gotha,Thienemann,k08,GEIsb2160003x03892,Für die Mittelstufe der Lehrerseminare,ger,,
"Deutschunterricht,Lehrerbildungsanstalt,Deutschland,Lesebuch",1892,Muttersprachlicher  Unterricht,Gotha,Thienemann,k08,GEIsb2160003x04892,Für die Oberstufe der Seminare und zur Weiterbildung für Lehrer,ger,,
"Geschichtsunterricht,Deutschland,Lehrmittel",1892,Geschichtsunterricht,Berlin,Gaertner,Sekundarstufe 2,GEIsb2600140x02892,Für die obere Stufe,ger,Gymnasium,
"Geschichtsunterricht,Sekundarstufe 2,Deutschland,Schulbuch",1892,Geschichtsunterricht,Gotha,Perthes,Sekundarstufe 2,GEIsb2530041x02892,Die @Neuzeit,,,
"Erstleseunterricht,Grundschule,Deutschland,Schulbuch",1892,Erstleseunterricht,Breslau,Görlich,Grundschule,GEIsb000007461,Deutsche Fibel,,,
"Deutschunterricht,Grundschule,Deutschland,Lesebuch",1892,Muttersprachlicher  Unterricht,Berlin,Wiegandt & Grieben,Grundschule,GEIsb000009898,Erstes Lesebuch,ger,,
"Deutschunterricht,Deutschland,Lesebuch",1892,Muttersprachlicher  Unterricht,Leipzig,Klinkhardt,k07,GEIsb000006808,Bunte Bilder aus dem Sachsenlande,ger,,
"Deutschunterricht,Grundschule,Deutschland,Lesebuch",1892,Muttersprachlicher  Unterricht,Leipzig,Teubner,Grundschule,GEIsb2010387x02892,,ger,,
"Geografieunterricht,Höhere Schule,Sekundarstufe 1,Deutschland,Schulbuch",1892,Geographieunterricht,Halle,Buchh. des Waisenhauses,Sekundarstufe 1,GEIsb2250002x01892,Unterstufe,ger,Gymnasium,
"Deutschunterricht,Gymnasium,Sekundarstufe 1,Deutschland,Lesebuch",1892,Muttersprachlicher  Unterricht,Berlin,Grote,Sekundarstufe 1,GEIsb2050005x01892,@,ger,Gymnasium,
"Geografieunterricht,Gymnasium,Sekundarstufe 1,Deutschland,Schulbuch",1892,Geographieunterricht,Breslau,Hirt,Sekundarstufe 1,GEIsb2250001x038921,Größere Schul-Geographie,ger,Gymnasium,
"Geografieunterricht,Geschichtsunterricht,Höhere Schule,Gymnasium,Bürgerschule,Sekundarstufe 1,Schulbuch",1892,Geschichtsunterricht,Leipzig,Baedeker,Sekundarstufe 1,GEIsb1490001x03892,Die @neuere Zeit,ger,Gymnasium,
"Geografieunterricht,Grundschule,Deutschland,Schulbuch",1892,Geographieunterricht,Halle,Schroedel,Grundschule,GEIsb000017166,"Allgemeine Heimatskunde mit Berücksichtigung der Kulturgeschichte als Vorbereitung und Unterbau für den weltkundlichen Unterricht, namentlich als Vorschule der Geographie",ger,,
"Deutschunterricht,Gymnasium,Sekundarstufe 1,Deutschland,Lesebuch",1892,Muttersprachlicher  Unterricht,Berlin,Weidmann,Sekundarstufe 1,GEIsb2050059x05892,,ger,Gymnasium,
"Geschichtsunterricht,Gymnasium,Sekundarstufe 1,Deutschland,Schulbuch",1892,Geschichtsunterricht,Wiesbaden,Kunze,Sekundarstufe 1,GEIsb000007304,Hilfsbuch für den ersten Unterricht in Alter Geschichte,,Gymnasium,
"Geschichtsunterricht,Gymnasium,Sekundarstufe 1,Deutschland,Schulbuch",1892,Geschichtsunterricht,Leipzig,Voigtländer,Sekundarstufe 1,GEIsb2490025x02892,Das @Mittelalter und die Neuzeit,,Gymnasium,
"Geschichtsunterricht,Hauptschule,Sekundarstufe 1,Deutschland,Schulbuch",1892,Geschichtsunterricht,Danzig,Axt,Sekundarstufe 1,SBRT2324733,Kleine Bilder aus der vaterländischen Geschichte für Volksschulen,ger,Hauptschule,Karl A. Krüger
"Geschichtsunterricht,Gymnasium,Sekundarstufe 1,Deutschland,Schulbuch",1892,Geschichtsunterricht,Gütersloh,Bertelsmann,Sekundarstufe 1,,Geschichtsbilder aus den Reichen der Langobarden und merowingischen Franken,ger,Gymnasium,
"Realien,Berufsbildende Schule,Deutschland,Schulbuch",1892,Realien,Kiel [u.a.],Lipsius & Tischer,Berufliche Bildungsgänge,,Lesebuch für Gewerbeschulen sowie für gewerbliche Fortbildungs- und Fachschulen,ger,,J. F. Ahrens
"Preußen,Schulbuch,Lehrmittel,Verzeichnis",1891,,,,,,Verzeichnis der im Jahre 1890 in den preußischen Taubstummenanstalten im Unterrichtsgebrauche befindlichen Lehr- und Lernmittel,ger,,
"Online-Publikation,Geografieunterricht,Deutschland,Schulbuch",1891,Geographieunterricht,Leipzig,Weber,,,Heimatkunde von Leipzig,ger,,Reinhold Helm
"Geschichtsunterricht,Sekundarstufe 1,Deutschland,Schulbuch",1891,Geschichtsunterricht,Danzig,Gruihn,Sekundarstufe 1,,Bilder aus der Weltgeschichte und Sage,ger,,
"Geschichtsunterricht,Deutschland,Lehrmittel,Quelle",1891,Geschichtsunterricht,Cöthen,Schulze,k07,,,ger,,
"Elsass-Lothringen,Schulbuch,Lehrmittel,Verzeichnis",1891,u081,Metz,"P. Even, Schulbuchh.",,,"Verzeichnis der in den Schulen von Elsass-Lothringen gebräuchlichen Schulbücher & Lehrmittel nebst einer Auswahl Pädagogischer & Sprachwissenschaftlicher Werke, Schreib- & Zeichen-Materialien",ger,,
